==================================================
3Dps Server
==================================================
Time:         2026-03-02 10:03:07.361268
Python:       3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
Working dir:  D:\projects\3Dps\backend
PID:          20252
Service mode: True
==================================================

  Open in browser: http://127.0.0.1:8000

INFO:     Will watch for changes in these directories: ['D:\\projects\\3Dps\\backend']
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [20252] using StatReload
INFO:     Started server process [4964]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/frames/19 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/frames/20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/frames/21 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/frames/22 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/frames/23 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63459 - "POST /api/projects/eff81a84/export_advanced HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /project/eff81a84 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/markers?generation_id=e74b76e0ce37 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/marker_types HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/roi HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/eff81a84/centered_frames: Centered frames not generated
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/centered_frames HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/25 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/26 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/27 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/28 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/29 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63582 - "GET /api/projects/eff81a84/frames/31 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/32 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/33 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/34 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/36 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/33 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/37 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/38 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/35 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/40 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/37 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/41 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/42 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/39 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/43 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/44 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/41 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/43 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/45 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/2 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/3 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/7 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/9 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/11 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/13 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/15 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/24 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63584 - "GET /api/projects/eff81a84/thumbs/17 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/19 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/21 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/25 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/31 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/thumbs/29 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/35 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/eff81a84/frames/39 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "POST /api/upload HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/5: Not Found
INFO:     127.0.0.1:63586 - "GET /api/projects/ea8f8f0a/frames/5 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63584 - "GET /api/projects/ea8f8f0a/video HTTP/1.1" 206 Partial Content
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/6: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/6 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/video HTTP/1.1" 206 Partial Content
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/7: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/7 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/video HTTP/1.1" 206 Partial Content
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/8: Not Found
INFO:     127.0.0.1:63587 - "GET /api/projects/ea8f8f0a/frames/8 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/10: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/10 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/11: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/11 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/12: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/12 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/13: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/13 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/14: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/14 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63591 - "GET /api/projects/ea8f8f0a/quality_preview_frame?time_ms=13767&user_quality=100&max_width=260 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/preview_frame?time_ms=0 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63587 - "GET /api/projects/ea8f8f0a/preview_frame?time_ms=27533 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63591 - "GET /api/projects/ea8f8f0a/quality_preview_frame?time_ms=13767&user_quality=70&max_width=260 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63589 - "GET /api/projects/ea8f8f0a/get_preview_frame?time_ms=0&max_width=240 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63588 - "GET /api/projects/ea8f8f0a/get_preview_frame?time_ms=500&max_width=240 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63590 - "GET /api/projects/ea8f8f0a/get_preview_frame?time_ms=1000&max_width=240 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63591 - "POST /api/projects/ea8f8f0a/estimate HTTP/1.1" 200 OK
INFO:     127.0.0.1:63591 - "GET /api/projects/ea8f8f0a/quality_preview_image?time_ms=13767&user_quality=100&max_width=260 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63587 - "POST /api/project/ea8f8f0a/save HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/18: Not Found
INFO:     127.0.0.1:63589 - "GET /api/projects/ea8f8f0a/frames/18 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/quality_preview_image?time_ms=13767&user_quality=70&max_width=260 HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/20: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/20 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/21: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/21 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/22: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/22 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/23: Not Found
INFO:     127.0.0.1:63587 - "GET /api/projects/ea8f8f0a/frames/23 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/24: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/24 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/25: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/25 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/26: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/26 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/27: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/27 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/28: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/28 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/29: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/29 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/30: Not Found
